IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,119,2.65
47.236.144.156,8443,8443,true,SIN,Asia Pacific,Singapore,109,2.64
47.236.75.113,80,80,false,SIN,Asia Pacific,Singapore,123,2.63
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,97,2.62
8.219.4.122,8080,8080,false,SIN,Asia Pacific,Singapore,85,2.62
8.219.106.156,2082,2082,false,SIN,Asia Pacific,Singapore,115,2.61
47.236.9.152,2095,2095,false,SIN,Asia Pacific,Singapore,122,2.58
47.237.82.15,8443,8443,true,SIN,Asia Pacific,Singapore,127,2.55
8.219.210.57,8880,8880,false,SIN,Asia Pacific,Singapore,120,2.55
8.219.83.201,80,80,false,SIN,Asia Pacific,Singapore,96,2.54
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,123,2.54
47.236.254.120,2096,2096,true,SIN,Asia Pacific,Singapore,127,2.53
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,131,2.53
47.236.166.131,2095,2095,false,SIN,Asia Pacific,Singapore,77,2.51
8.222.136.247,2053,2053,true,SIN,Asia Pacific,Singapore,81,2.51
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,92,2.50
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,127,2.48
194.36.179.240,443,443,true,SIN,Asia Pacific,Singapore,463,2.47
47.237.10.1,2082,2082,false,SIN,Asia Pacific,Singapore,122,2.46
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,85,2.45
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,120,2.44
47.236.144.48,80,80,false,SIN,Asia Pacific,Singapore,94,2.43
8.219.106.156,443,443,true,SIN,Asia Pacific,Singapore,122,2.42
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,74,2.42
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,120,2.42
47.236.10.100,8080,8080,false,SIN,Asia Pacific,Singapore,128,2.41
47.236.144.208,2087,2087,true,SIN,Asia Pacific,Singapore,78,2.41
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,140,2.41
47.237.81.112,2086,2086,false,SIN,Asia Pacific,Singapore,121,2.38
47.237.81.112,2053,2053,true,SIN,Asia Pacific,Singapore,79,2.36
47.236.93.176,2086,2086,false,SIN,Asia Pacific,Singapore,138,2.29
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,87,2.28
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,119,2.27
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,87,2.16
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,74,2.13
8.219.77.222,8880,8880,false,SIN,Asia Pacific,Singapore,119,2.12
47.237.92.26,2087,2087,true,SIN,Asia Pacific,Singapore,77,2.07
8.219.191.40,8880,8880,false,SIN,Asia Pacific,Singapore,91,2.04
47.236.158.158,2086,2086,false,SIN,Asia Pacific,Singapore,98,2.00
47.236.144.196,2052,2052,false,SIN,Asia Pacific,Singapore,77,1.99
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,86,1.86
47.236.158.158,80,80,false,SIN,Asia Pacific,Singapore,77,1.83
8.219.83.201,2083,2083,true,SIN,Asia Pacific,Singapore,78,1.80
8.222.136.247,2083,2083,true,SIN,Asia Pacific,Singapore,119,1.79
8.219.177.205,8880,8880,false,SIN,Asia Pacific,Singapore,77,1.73
8.219.4.122,8443,8443,true,SIN,Asia Pacific,Singapore,87,1.71
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,120,1.57
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,98,1.51
193.122.116.37,443,443,true,SIN,Asia Pacific,Singapore,362,1.50
47.236.237.90,2096,2096,true,SIN,Asia Pacific,Singapore,96,1.49
47.236.166.131,2052,2052,false,SIN,Asia Pacific,Singapore,126,1.45
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,121,1.28
150.230.96.222,443,443,true,SIN,Asia Pacific,Singapore,164,1.26
152.67.195.43,443,443,true,SIN,Asia Pacific,Singapore,174,1.17
47.237.81.112,2095,2095,false,SIN,Asia Pacific,Singapore,95,1.13
213.35.116.65,443,443,true,SIN,Asia Pacific,Singapore,116,1.04
158.179.194.58,443,443,true,SIN,Asia Pacific,Singapore,364,1.01
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,88,1.01
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,121,0.96
168.138.184.172,443,443,true,SIN,Asia Pacific,Singapore,93,0.92
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,132,0.87
47.237.100.206,2087,2087,true,SIN,Asia Pacific,Singapore,86,0.63
158.101.84.150,443,443,true,SIN,Asia Pacific,Singapore,309,0.61
165.154.49.165,58680,443,true,SIN,Asia Pacific,Singapore,163,0.58
150.230.196.78,443,443,true,SIN,Asia Pacific,Singapore,273,0.36
54.169.229.188,443,443,true,SIN,Asia Pacific,Singapore,84,0.17
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,128,0.12
43.163.3.63,443,443,true,SIN,Asia Pacific,Singapore,255,0.06
128.1.38.9,38080,80,false,SIN,Asia Pacific,Singapore,357,0.00
34.80.222.225,80,443,false,SIN,Asia Pacific,Singapore,74,0.00
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,279,0.00
175.41.130.169,443,443,true,SIN,Asia Pacific,Singapore,90,0.00
